,Postal Code,Travel,Outdoors,Food,Arts,Shops,Residence,Professional,Distance_to_Downtown [Km],Ratio_commuting,Ratio_renting,Average_income,Population_density,Population_change
44,M4N,3,5,3,0,5,1,10,7.528662364908838,0.08299864722681496,0.045998797534946644,214110.0,1827.7472527472528,-0.05092724679029957
45,M6N,2,2,7,2,18,1,6,8.323443316315599,0.17299863076220903,0.07099954358740301,42635.0,5155.294117647059,-0.02988709320345362
46,M9N,0,3,9,0,9,3,14,11.861253074843397,0.155,0.265,27446.0,6564.143426294821,-0.0559789147997479
47,M1P,0,0,6,1,26,0,8,13.99366387860145,0.15199943618295864,0.09599971809147932,26525.0,3330.7511737089203,0.07794575704626605
48,M6P,2,3,2,4,8,1,16,6.400662473802122,0.275,0.3279996482898092,46437.0,10433.94495412844,-0.015963659961064244
49,M9P,1,8,7,0,12,1,7,12.457859069438811,0.09599965852825679,0.23399863411302715,35183.0,5631.730769230769,0.049829718587560495
50,M1R,0,1,13,1,11,0,12,12.247560569715338,0.13438522744332682,0.13877946254316167,29344.710403843266,2599.4146341463415,-0.031936925480507215
51,M2R,0,4,3,0,9,7,13,14.351953718717738,0.15599990728722418,0.12899986093083626,39895.0,5617.708333333334,0.6229921378324493
52,M4R,2,3,9,2,15,0,3,6.34344467747553,0.08299864722681496,0.045998797534946644,214110.0,1827.7472527472528,-0.05092724679029957
53,M5R,6,3,7,2,2,8,6,2.1695048166981787,0.21038804453272972,0.3799039127823717,75253.78237169122,10663.546798029556,0.09955808401483213
54,M6R,4,6,10,0,9,1,7,5.859580846374385,0.2209181074318689,0.3312269233370151,33707.86371525821,11063.092269326684,-0.0690407739281892
55,M9R,3,1,5,1,7,2,15,13.962742543493345,0.11799987695336532,0.14599975390673064,32004.0,4013.3333333333335,-0.061980609418282546
56,M1S,2,0,6,2,13,0,19,17.817948334981093,0.1109998429683469,0.058999932700720105,25750.0,3580.4819277108436,0.04599103644085693
57,M4S,0,0,18,2,21,0,5,4.90207122364606,0.26,0.31699962068529525,55735.0,7556.369426751592,0.04496608825861006
58,M5S,1,1,9,0,4,0,3,1.2514231095197186,0.16799864544530985,0.24,45792.0,9228.125,0.0239251040221914
59,M6S,1,2,15,0,14,1,15,8.031906426757294,0.18017466967450854,0.11190074121817596,54149.02629713181,3365.5097613882867,-0.005129849310676499
60,M1T,1,1,11,0,10,0,14,14.932434190713845,0.122,0.15299981641270424,27717.0,5006.433823529412,0.03397873955960516
61,M4T,1,13,1,0,9,1,7,3.2568561972261105,0.11,0.075,154825.0,3959.2920353982304,-0.019934282584884996
62,M5T,1,0,11,1,27,0,1,1.450952115697064,0.13798776182631206,0.3251925943359222,31773.18890719385,10622.5,0.0014140938015555031
63,M1V,2,4,11,1,6,1,16,18.98030446002199,0.12299977161997563,0.03899969549330085,25243.0,3653.963838664812,-0.019994031632348554
64,M4V,4,5,5,0,6,4,19,3.1499090597717285,0.23404807557405416,0.3795585278024599,92262.68128887434,7861.39705882353,0.0241390871210307
65,M8V,2,1,7,1,12,1,4,11.120774936399677,0.1437032501177579,0.2864521902967499,36343.99317004239,5140.43583535109,-0.05744983129106731
66,M9V,0,3,13,2,7,0,18,18.511136563642523,0.112,0.137,28955.0,4229.219143576826,0.013950117760734343
67,M4W,1,12,1,2,5,8,6,2.2200387186855557,0.11299921793534932,0.11899895724713243,213941.0,2820.5882352941176,0.04794426990848245
68,M8W,0,2,8,1,10,0,14,14.227654864979,0.11242281847657534,0.1505807997744467,36165.7245430196,2972.2067039106146,-0.05564677168848458
69,M4X,0,2,23,1,12,1,6,1.6137909275663662,0.23561932831769178,0.39041379042891494,34440.35003490266,15819.631901840492,-0.03984212094131665
70,M8X,1,5,3,2,16,1,6,9.80076958335863,0.118,0.062,110944.0,3403.100775193798,0.0788891619562546
71,M4Y,3,1,7,1,18,4,8,0.6352988271143778,0.25099947749496154,0.57,37653.0,24358.181818181816,0.08794867630339451
72,M8Y,4,6,2,3,4,6,13,9.480503147109205,0.1402519646192339,0.22605772280367903,46760.99467878916,4267.2180451127815,-0.028949799815214044
